,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
135,2010,三门峡-花园口,耗水量,43.57,29.62,2.63,4.47,1.02,3.62,2.21,33.75,18.38,3.65,5.08,1.02,4.72,0.9
136,2010,花园口-利津,取水量,20.56,10.02,0.76,7.13,0.51,1.83,0.31,16.98,5.45,0.91,6.88,0.59,2.66,0.49
137,2010,花园口-利津,耗水量,17.42,8.97,0.65,5.44,0.49,1.58,0.29,10.0,4.36,0.73,2.68,0.25,1.57,0.41
138,2010,利津-河口,取水量,113.22,84.12,3.73,12.57,2.04,6.3,4.46,17.3,9.54,2.01,2.95,0.36,2.43,0.01
139,2010,利津-河口,耗水量,111.53,83.33,3.45,12.19,2.0,6.15,4.41,12.2,7.63,1.61,1.1,0.18,1.67,0.01
140,2010,黄河内流区,取水量,2.62,2.38,0.07,0.15,0.0,0.0,0.02,3.55,2.24,0.4,0.45,0.13,0.12,0.21
141,2010,黄河内流区,耗水量,2.07,1.9,0.05,0.1,0.0,0.0,0.02,2.77,1.79,0.32,0.3,0.09,0.08,0.19
142,2010,合计,取水量,384.84,289.87,18.37,42.07,4.99,17.43,12.11,127.21,58.12,11.41,31.49,5.12,18.8,2.27
143,2010,合计,耗水量,309.16,228.65,15.47,34.22,4.52,14.45,11.85,85.7,46.5,9.13,14.39,2.35,11.32,2.01
144,2011,河源-兰州,取水量,1.85,0.92,0.65,0.1,0.03,0.13,0.02,0.17,0.0,0.01,0.05,0.05,0.05,0.01
145,2011,河源-兰州,耗水量,1.36,0.7,0.48,0.05,0.03,0.08,0.02,0.08,0.0,0.01,0.01,0.02,0.03,0.01
146,2011,兰州-头道拐,取水量,28.56,19.45,1.77,4.97,0.4,1.4,0.57,5.74,1.33,0.04,2.23,0.53,1.44,0.17
147,2011,兰州-头道拐,耗水量,22.39,15.52,1.31,3.7,0.34,0.97,0.55,2.93,1.06,0.03,0.7,0.22,0.8,0.12
148,2011,头道拐-龙门,取水量,156.53,134.29,6.88,10.0,0.7,1.88,0.78,29.52,14.78,2.84,7.18,0.93,3.11,0.68
149,2011,头道拐-龙门,耗水量,108.27,89.98,5.75,7.7,0.51,1.7,2.63,20.96,11.83,2.27,4.1,0.48,1.71,0.57
150,2011,龙门-三门峡,取水量,9.81,5.38,0.42,2.93,0.27,0.77,0.04,7.57,3.08,0.54,2.14,0.26,1.32,0.23
151,2011,龙门-三门峡,耗水量,8.3,4.6,0.34,2.43,0.26,0.63,0.04,5.38,2.46,0.43,1.26,0.14,0.88,0.21
152,2011,三门峡-花园口,取水量,57.46,34.86,5.79,6.55,1.25,6.4,2.61,49.97,22.13,5.18,10.37,2.71,8.77,0.81
153,2011,三门峡-花园口,耗水量,46.51,28.9,5.22,4.45,1.1,4.26,2.58,34.38,17.7,4.15,5.36,1.17,5.2,0.8
154,2011,花园口-利津,取水量,23.41,11.48,1.07,7.96,0.54,1.92,0.44,15.96,4.39,0.96,6.76,0.69,2.64,0.52
155,2011,花园口-利津,耗水量,20.02,10.52,0.89,6.03,0.52,1.64,0.42,8.8,3.51,0.77,2.48,0.29,1.32,0.43
156,2011,利津-河口,取水量,127.33,92.83,4.66,14.42,2.58,6.51,6.33,16.61,9.39,2.05,2.35,0.39,2.4,0.03
157,2011,利津-河口,耗水量,125.44,91.95,4.33,14.02,2.51,6.36,6.27,11.88,7.51,1.64,0.95,0.21,1.54,0.03
158,2011,黄河内流区,取水量,2.26,1.88,0.07,0.27,0.02,0.01,0.01,3.61,2.05,0.73,0.46,0.07,0.12,0.18
159,2011,黄河内流区,耗水量,1.77,1.5,0.05,0.19,0.01,0.01,0.01,2.8,1.64,0.58,0.3,0.04,0.08,0.16
160,2011,合计,取水量,407.21,301.09,21.31,47.2,5.79,19.02,12.8,129.15,57.15,12.35,31.54,5.63,19.85,2.63
161,2011,合计,耗水量,334.06,243.67,18.37,38.57,5.28,15.65,12.52,87.21,45.71,9.88,15.16,2.57,11.56,2.33
162,2012,河源-兰州,取水量,1.81,0.97,0.59,0.07,0.03,0.14,0.01,0.07,0.01,0.01,0.02,0.01,0.02,0.0
163,2012,河源-兰州,耗水量,1.33,0.72,0.44,0.04,0.03,0.09,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.0
164,2012,兰州-头道拐,取水量,25.97,17.08,1.87,4.35,0.67,1.46,0.54,4.15,1.2,0.03,1.28,0.55,0.95,0.14
165,2012,兰州-头道拐,耗水量,21.13,13.69,1.4,3.78,0.63,1.1,0.53,2.7,0.96,0.03,0.63,0.36,0.62,0.1
166,2012,头道拐-龙门,取水量,147.77,124.42,6.82,10.73,0.76,1.91,3.13,30.23,12.38,3.14,9.38,1.38,3.3,0.65
167,2012,头道拐-龙门,耗水量,101.27,82.37,6.19,7.77,0.49,1.36,3.09,22.12,9.9,2367.0,6.02,0.85,2.12,0.56
168,2012,龙门-三门峡,取水量,11.05,5.73,0.57,2.92,0.28,0.93,0.62,8.12,3.02,0.64,2.42,0.34,1.48,0.22
169,2012,龙门-三门峡,耗水量,9.4,4.94,0.46,2.32,0.27,0.79,0.62,6.11,2.41,0.56,1.72,0.22,0.99,0.21
170,2012,三门峡-花园口,取水量,56.37,37.29,3.59,6.52,1.2,5.19,2.58,50.38,22.12,4.25,10.55,2.67,9.97,0.82
171,2012,三门峡-花园口,耗水量,45.76,31.33,2.97,4.39,1.05,3.46,2.56,37.34,17.7,3.56,7.13,1.66,6.48,0.81
172,2012,花园口-利津,取水量,23.79,11.82,0.8,8.16,0.49,2.2,0.32,16.6,4.62,1.25,6.92,0.85,2.39,0.57
173,2012,花园口-利津,耗水量,20.21,10.72,0.68,6.19,0.47,1.85,0.3,11.5,3.69,1.03,4.3,0.53,1.47,0.48
174,2012,利津-河口,取水量,125.44,92.83,3.53,11.69,2.3,6.03,9.06,17.44,10.43,1.92,2.37,0.39,2.31,0.02
175,2012,利津-河口,耗水量,123.58,91.96,3.29,11.27,2.24,5.84,8.98,13.16,8.34,1.54,1.48,0.24,1.55,0.01
176,2012,黄河内流区,取水量,0.77,0.64,0.06,0.04,0.0,0.01,0.02,3.64,2.16,0.78,0.49,0.08,0.13,0.0
177,2012,黄河内流区,耗水量,0.62,0.52,0.05,0.03,0.0,0.0,0.02,2.84,1.73,0.63,0.34,0.05,0.09,0.0
178,2012,合计,取水量,392.97,290.78,17.83,44.48,5.73,17.87,16.28,130.63,55.94,12.02,33.43,6.27,20.55,2.42
179,2012,合计,耗水量,323.3,236.25,15.48,35.79,5.18,14.49,16.11,95.82,44.74,10.03,21.63,3.92,13.33,2.17
180,2013,河源-兰州,取水量,2.03,0.98,0.75,0.04,0.06,0.18,0.02,0.1,0.03,0.02,0.02,0.01,0.02,0.0
181,2013,河源-兰州,耗水量,1.51,0.73,0.57,0.02,0.06,0.12,0.01,0.08,0.03,0.02,0.01,0.01,0.01,0.0
182,2013,兰州-头道拐,取水量,26.67,18.0,2.22,4.27,0.67,1.26,0.25,2.66,0.71,0.0,0.82,0.53,0.48,0.12
183,2013,兰州-头道拐,耗水量,21.43,14.34,1.7,3.62,0.62,0.91,0.24,1.63,0.57,0.0,0.33,0.34,0.31,0.08
184,2013,头道拐-龙门,取水量,158.78,135.55,9.03,8.68,1.32,1.91,2.29,29.54,14.43,3.86,6.09,1.44,3.03,0.69
185,2013,头道拐-龙门,耗水量,110.16,90.84,8.52,6.16,1.0,1.38,2.26,22.21,11.54,3.29,3.95,0.89,1.95,0.59
186,2013,龙门-三门峡,取水量,12.06,5.28,0.72,3.06,0.59,1.48,0.93,8.23,3.17,0.97,1.99,0.38,1.54,0.18
187,2013,龙门-三门峡,耗水量,10.36,4.43,0.59,2.52,0.58,1.31,0.93,6.24,2.53,0.84,1.43,0.24,1.03,0.17
188,2013,三门峡-花园口,取水量,57.37,35.56,4.04,7.62,1.45,5.68,3.02,50.47,24.26,3.95,9.88,2.49,8.93,0.96
189,2013,三门峡-花园口,耗水量,46.52,30.0,3.33,5.14,1.24,3.8,3.01,27.63,19.41,3.31,6.65,1.55,5.79,0.92
190,2013,花园口-利津,取水量,25.0,12.93,0.85,8.13,0.6,1.93,0.56,16.71,4.82,1.42,6.37,0.85,2.77,0.48
191,2013,花园口-利津,耗水量,21.39,11.82,0.7,6.14,0.57,1.63,0.53,11.62,3.86,1.16,3.96,0.53,1.7,0.41
192,2013,利津-河口,取水量,120.08,89.67,3.1,10.93,2.15,6.06,8.17,17.08,9.76,1.68,3.01,0.36,2.25,0.02
193,2013,利津-河口,耗水量,118.28,88.77,2.9,10.53,2.11,5.86,8.11,12.79,7.81,1.35,1.88,0.22,1.51,0.02
194,2013,黄河内流区,取水量,2.77,2.03,0.4,0.16,0.0,0.02,0.16,3.43,1.39,1.29,0.41,0.08,0.12,0.14
195,2013,黄河内流区,耗水量,2.22,1.62,0.32,0.11,0.0,0.02,0.15,2.68,1.11,1.03,0.28,0.05,0.09,0.12
196,2013,合计,取水量,404.76,300.0,21.11,42.89,6.84,18.52,15.4,128.22,58.57,13.19,28.59,6.14,19.14,2.59
197,2013,合计,耗水量,331.87,242.55,18.63,34.24,6.18,15.03,15.24,94.88,46.86,11.0,18.49,3.83,12.39,2.31
198,2014,河源-兰州,取水量,2.32,1.24,0.77,0.05,0.08,0.17,0.01,0.09,0.01,0.04,0.01,0.01,0.02,0.0
199,2014,河源-兰州,耗水量,1.74,0.91,0.61,0.03,0.07,0.11,0.01,0.07,0.01,0.04,0.0,0.01,0.01,0.0
200,2014,兰州-头道拐,取水量,25.32,16.23,2.64,4.02,0.74,1.4,0.29,2.79,0.71,0.0,0.84,0.57,0.52,0.15
201,2014,兰州-头道拐,耗水量,20.19,12.73,2.05,3.45,0.68,1.0,0.28,1.73,0.56,0.0,0.35,0.37,0.34,0.11
202,2014,头道拐-龙门,取水量,157.18,129.54,10.35,9.34,1.33,1.97,4.65,27.85,14.2,3.55,5.43,1.19,2.86,0.62
203,2014,头道拐-龙门,耗水量,108.87,85.13,9.73,6.69,1.0,1.43,4.62,20.99,11.36,3.02,3.53,0.73,1.84,0.51
204,2014,龙门-三门峡,取水量,12.75,4.56,0.77,3.1,0.59,1.55,2.18,8.03,3.54,0.5,1.87,0.34,1.54,0.24
205,2014,龙门-三门峡,耗水量,11.17,3.8,0.67,2.58,0.58,1.36,2.18,6.05,2.83,0.43,1.32,0.22,1.02,0.23
206,2014,三门峡-花园口,取水量,58.39,35.71,3.89,8.66,1.74,6.08,2.31,49.14,23.58,3.99,9.29,2.35,9.0,0.93
207,2014,三门峡-花园口,耗水量,47.3,30.05,3.27,6.11,1.5,4.06,2.31,36.75,18.86,3.32,6.39,1.46,5.84,0.88
208,2014,花园口-利津,取水量,23.76,11.94,1.44,6.94,0.7,1.41,1.33,16.27,4.94,1.18,5.75,0.89,3.12,0.39
209,2014,花园口-利津,耗水量,20.72,10.97,1.29,5.36,0.66,1.18,1.26,11.5,3.95,0.97,3.78,0.55,1.92,0.33
210,2014,利津-河口,取水量,128.36,99.6,2.13,10.93,2.53,6.41,6.76,16.23,8.99,1.66,2.72,0.43,2.35,0.08
211,2014,利津-河口,耗水量,126.75,98.79,2.07,10.56,2.48,6.16,6.69,12.25,7.19,1.43,1.7,0.27,1.59,0.07
212,2014,黄河内流区,取水量,2.45,1.94,0.14,0.24,0.01,0.03,0.09,3.85,2.69,0.56,0.32,0.03,0.13,0.12
213,2014,黄河内流区,耗水量,1.95,1.55,0.11,0.17,0.01,0.02,0.09,3.04,2.15,0.44,0.22,0.02,0.1,0.11
214,2014,合计,取水量,410.53,300.76,22.13,43.28,7.72,19.02,17.62,124.25,58.66,11.48,26.23,5.81,19.54,2.53
215,2014,合计,耗水量,338.69,243.93,19.8,35.22,6.98,15.32,17.44,92.38,46.91,9.65,17.29,3.63,12.66,2.24
216,2015,河源-兰州,取水量,2.33,1.25,0.74,0.07,0.07,0.19,0.01,0.12,0.03,0.03,0.02,0.01,0.03,0.0
217,2015,河源-兰州,耗水量,1.73,0.92,0.58,0.04,0.06,0.12,0.01,0.09,0.02,0.03,0.01,0.01,0.02,0.0
218,2015,兰州-头道拐,取水量,24.33,15.15,2.85,3.76,0.7,1.45,0.42,3.03,0.76,0.0,0.93,0.55,0.52,0.27
219,2015,兰州-头道拐,耗水量,19.65,12.13,2.22,3.21,0.64,1.04,0.41,1.87,0.61,0.0,0.38,0.35,0.34,0.19
220,2015,头道拐-龙门,取水量,153.03,125.54,10.29,9.22,1.39,2.02,4.57,27.47,13.99,4.14,4.44,1.22,3.0,0.68
221,2015,头道拐-龙门,耗水量,105.21,81.71,9.67,6.81,1.05,1.46,4.51,20.84,11.19,3.53,2.88,0.75,1.93,0.56
222,2015,龙门-三门峡,取水量,14.25,6.69,0.76,3.0,0.65,1.63,1.52,8.8,3.44,1.18,1.98,0.27,1.64,0.29
223,2015,龙门-三门峡,耗水量,12.65,5.89,0.65,2.54,0.64,1.41,1.52,6.69,2.75,1.01,1.4,0.17,1.09,0.27
224,2015,三门峡-花园口,取水量,61.26,37.68,4.14,8.95,1.63,6.74,2.12,48.61,23.35,3.92,9.14,2.39,8.94,0.87
225,2015,三门峡-花园口,耗水量,49.81,31.87,3.47,6.45,1.4,4.51,2.11,36.3,18.68,3.28,6.27,1.48,5.79,0.8
226,2015,花园口-利津,取水量,22.99,11.92,1.52,6.52,0.67,1.21,1.15,16.39,4.68,1.6,5.4,0.9,3.37,0.44
227,2015,花园口-利津,耗水量,19.97,10.86,1.31,5.07,0.63,1.03,1.07,11.58,3.75,1.31,3.53,0.56,2.07,0.36
228,2015,利津-河口,取水量,131.87,103.28,2.15,11.17,2.57,6.39,6.31,16.46,9.87,1.38,2.57,0.4,2.17,0.07
229,2015,利津-河口,耗水量,130.29,102.58,2.09,10.7,2.52,6.16,6.24,12.46,7.89,1.19,1.61,0.25,1.46,0.06
230,2015,黄河内流区,取水量,1.3,0.74,0.22,0.22,0.01,0.04,0.07,2.39,1.8,0.26,0.18,0.02,0.08,0.05
231,2015,黄河内流区,耗水量,1.03,0.59,0.18,0.15,0.01,0.03,0.07,1.88,1.44,0.21,0.12,0.01,0.06,0.04
232,2015,合计,取水量,411.36,302.25,22.67,42.91,7.69,19.67,16.17,123.27,57.92,12.51,24.66,5.76,19.75,2.67
233,2015,合计,耗水量,340.34,246.55,20.17,34.97,6.95,15.76,15.94,91.71,46.33,10.56,16.2,3.58,12.76,2.28
234,2016,河源-兰州,取水量,2.25,1.18,0.74,0.09,0.06,0.18,0.0,0.09,0.02,0.04,0.0,0.0,0.03,0.0
235,2016,河源-兰州,耗水量,1.73,0.88,0.61,0.05,0.05,0.14,0.0,0.07,0.02,0.03,0.0,0.0,0.02,0.0
236,2016,兰州-头道拐,取水量,23.91,14.7,2.5,3.64,0.65,1.62,0.8,3.58,1.03,0.22,0.89,0.58,0.72,0.14
237,2016,兰州-头道拐,耗水量,19.1,11.39,2.0,3.12,0.65,1.19,0.75,2.29,0.82,0.17,0.36,0.37,0.47,0.1
238,2016,头道拐-龙门,取水量,147.34,121.96,8.05,9.25,1.5,2.34,4.24,27.54,14.52,3.41,4.02,1.31,3.3,0.98
239,2016,头道拐-龙门,耗水量,100.79,79.39,7.43,6.89,1.15,1.74,4.19,20.87,11.61,2.9,2.61,0.8,2.13,0.82
240,2016,龙门-三门峡,取水量,13.47,6.6,0.83,2.9,0.57,1.59,0.98,7.5,2.57,0.91,1.82,0.27,1.68,0.25
241,2016,龙门-三门峡,耗水量,11.86,5.84,0.71,2.42,0.56,1.35,0.98,5.64,2.05,0.78,1.29,0.17,1.12,0.23
242,2016,三门峡-花园口,取水量,64.67,38.84,4.37,8.65,2.22,7.2,3.39,46.94,22.39,4.11,8.38,2.16,9.09,0.81
243,2016,三门峡-花园口,耗水量,52.78,32.74,3.66,6.3,1.94,4.77,3.37,35.06,17.91,3.43,5.7,1.34,5.95,0.73
244,2016,花园口-利津,取水量,23.5,12.13,1.37,6.7,0.58,1.39,1.33,15.95,4.8,1.51,4.74,0.82,3.59,0.49
245,2016,花园口-利津,耗水量,20.1,10.91,1.18,5.13,0.54,1.1,1.24,11.28,3.84,1.24,3.08,0.51,2.2,0.41
246,2016,利津-河口,取水量,116.84,90.42,2.18,12.01,1.94,5.17,5.12,16.79,10.04,1.32,2.77,0.38,2.19,0.09
247,2016,利津-河口,耗水量,115.17,89.72,2.1,11.52,1.89,4.88,5.06,12.69,8.03,1.13,1.73,0.24,1.48,0.08
248,2016,黄河内流区,取水量,0.91,0.63,0.1,0.08,0.01,0.05,0.07,3.48,1.94,1.04,0.26,0.02,0.11,0.11
249,2016,黄河内流区,耗水量,0.72,0.5,0.08,0.06,0.01,0.03,0.07,2.75,1.55,0.83,0.18,0.01,0.08,0.1
250,2016,合计,取水量,392.89,286.46,20.14,43.32,7.53,19.54,15.9,121.87,57.31,12.56,22.88,5.54,20.71,2.87
251,2016,合计,耗水量,322.25,231.37,17.77,35.49,6.79,15.2,15.63,90.65,45.83,10.51,14.95,3.44,13.45,2.47
252,2017,河源-兰州,取水量,2.18,1.18,0.7,0.07,0.04,0.19,0.0,0.1,0.02,0.04,0.0,0.01,0.03,0.0
253,2017,河源-兰州,耗水量,1.67,0.88,0.56,0.04,0.04,0.15,0.0,0.07,0.02,0.03,0.0,0.0,0.02,0.0
254,2017,兰州-头道拐,取水量,23.95,14.13,2.95,3.83,0.71,1.52,0.81,3.48,0.83,0.28,0.95,0.51,0.73,0.18
255,2017,兰州-头道拐,耗水量,19.07,11.0,2.33,3.29,0.62,1.07,0.76,2.19,0.66,0.22,0.39,0.33,0.47,0.12
256,2017,头道拐-龙门,取水量,147.31,120.03,8.07,9.93,1.62,2.36,5.3,26.58,13.77,3.57,3.52,1.27,3.47,0.98
257,2017,头道拐-龙门,耗水量,100.79,77.64,7.45,7.46,1.24,1.76,5.24,20.12,11.01,3.01,2.28,0.78,2.24,0.8
258,2017,龙门-三门峡,取水量,14.36,7.15,0.79,3.19,0.57,1.68,0.98,7.33,2.45,0.82,1.95,0.28,1.63,0.2
259,2017,龙门-三门峡,耗水量,12.59,6.36,0.68,2.6,0.56,1.41,0.98,5.49,1.96,0.7,1.37,0.18,1.09,0.19
260,2017,三门峡-花园口,取水量,67.11,39.73,4.49,8.92,2.39,7.58,4.0,46.29,21.91,4.17,8.23,2.13,9.1,0.75
261,2017,三门峡-花园口,耗水量,54.83,33.42,3.77,6.52,2.09,5.05,3.98,34.57,17.53,3.49,5.61,1.32,5.95,0.67
262,2017,花园口-利津,取水量,26.49,13.16,1.32,6.88,0.64,1.79,2.7,15.54,4.69,1.34,4.55,0.99,3.54,0.43
263,2017,花园口-利津,耗水量,22.99,11.85,1.14,5.32,0.61,1.5,2.57,10.96,3.75,1.1,2.96,0.62,2.17,0.36
264,2017,利津-河口,取水量,117.75,87.47,2.13,11.53,2.01,5.6,9.01,15.61,8.1,1.44,3.04,0.54,2.37,0.12
265,2017,利津-河口,耗水量,116.08,86.74,2.05,11.07,1.96,5.36,8.9,11.64,6.48,1.23,1.9,0.34,1.58,0.11
266,2017,黄河内流区,取水量,1.07,0.64,0.1,0.14,0.02,0.09,0.08,4.01,2.33,1.13,0.26,0.03,0.13,0.13
267,2017,黄河内流区,耗水量,0.84,0.51,0.08,0.1,0.01,0.06,0.08,3.19,1.86,0.91,0.18,0.02,0.1,0.12
268,2017,合计,取水量,400.22,283.49,20.55,44.49,8.0,20.81,22.88,118.94,54.1,12.79,22.5,5.76,21.0,2.79
269,2017,合计,耗水量,328.86,228.4,18.06,36.4,7.13,16.36,22.51,88.23,43.27,10.69,14.69,3.59,13.62,2.37
